source,target,weight
LUKE,OBI-WAN,22
LUKE,OWEN,3
LUKE,R2-D2,29
LUKE,RED LEADER,3
LUKE,RED TEN,1
LUKE,WEDGE,4
LUKE,YODA,6
LUKE,ZEV,1
MACE WINDU,OBI-WAN,9
MACE WINDU,PADME,2
MACE WINDU,QUI-GON,2
MACE WINDU,RABE,1
MACE WINDU,SENATOR ASK AAK,1
MACE WINDU,YODA,16
MON MOTHMA,PADME,2
MON MOTHMA,R2-D2,1
MOTTI,TARKIN,2
NEEDA,PIETT,1
NUTE GUNRAY,OBI-WAN,1
NUTE GUNRAY,PADME,2
NUTE GUNRAY,POGGLE,2
NUTE GUNRAY,QUI-GON,1
NUTE GUNRAY,RUNE,8
NUTE GUNRAY,SIO BIBBLE,2
NUTE GUNRAY,SUN RIT,2
NUTE GUNRAY,TC-14,1
NUTE GUNRAY,TEY HOW,1
OBI-WAN,ODD BALL,2
OBI-WAN,PADME,9
OBI-WAN,PK-4,1
OBI-WAN,POGGLE,1
OBI-WAN,QUI-GON,26
OBI-WAN,R2-D2,16
OBI-WAN,RIC OLIE,3
OBI-WAN,SENATOR ASK AAK,1
OBI-WAN,SHMI,1
OBI-WAN,SIO BIBBLE,1
OBI-WAN,SUN RIT,1
OBI-WAN,TAUN WE,5
OBI-WAN,TC-14,1
OBI-WAN,TION MEDON,1
OBI-WAN,YODA,20
ORN FREE TAA,SENATOR ASK AAK,1
OWEN,PADME,4
OWEN,R2-D2,1
OZZEL,PIETT,2
PADME,POGGLE,1
PADME,QUI-GON,16
PADME,R2-D2,22
PADME,RUWEE,1
PADME,SEBULBA,2
PADME,SHMI,5
PADME,SIO BIBBLE,1
PADME,SOLA,1
PADME,SUN RIT,1
PADME,WATTO,3
PADME,YODA,1
PK-4,TC-14,1
POGGLE,SUN RIT,2
QUI-GON,R2-D2,14
QUI-GON,RABE,1
QUI-GON,RIC OLIE,2
QUI-GON,SEBULBA,2
QUI-GON,SHMI,8
QUI-GON,SIO BIBBLE,2
QUI-GON,TC-14,1
QUI-GON,VALORUM,1
QUI-GON,WALD,2
QUI-GON,WATTO,6
QUI-GON,YODA,3
R2-D2,WATTO,3
R2-D2,YODA,1
RABE,YODA,1
RED LEADER,RED TEN,1
RED LEADER,WEDGE,3
RUNE,TEY HOW,2
RUWEE,SOLA,1
SEBULBA,SHMI,1
SENATOR ASK AAK,YODA,1
